hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,1,100,100
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,2,100.92,100.98
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,3,101.3,100.91
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,4,101.7,100.99
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,5,102.31,101.35
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,6,102.77,101.49
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,7,102.97,101.85
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,8,103.13,102.03
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,9,102.82,101.99
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,10,103.06,102.31
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,11,103.95,103.31
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,12,103.74,103.42
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,1,103.84,103.86
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,2,104.34,104.38
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,3,105.52,105.13
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,4,105.9,105.16
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,5,106.56,105.56
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,6,106.91,105.56
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,7,107.14,105.97
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,8,107.59,106.43
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,9,107.58,106.71
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,10,108.17,107.35
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,11,108.42,107.76
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,12,108.73,108.4
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,1,108.46,108.54
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,2,108.3,108.33
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,3,109.27,108.91
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,4,110.24,109.46
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,5,110.85,109.8
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,6,111.95,110.51
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,7,112.18,110.93
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,8,112.62,111.39
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,9,113.11,112.17
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,10,113.22,112.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,11,113.54,112.88
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,12,113.78,113.45
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,1,114.03,114.18
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,2,114.4,114.42
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,3,115.16,114.81
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,4,116.35,115.52
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,5,117.17,116.05
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,6,117.9,116.36
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,7,117.9,116.54
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,8,118.35,117.05
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,9,118.4,117.38
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,10,118.99,118.04
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,11,119.18,118.52
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,12,118.9,118.59
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,1,119.12,119.36
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,2,120.02,120
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,3,120.5,120.16
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,4,121.71,120.85
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,5,122.03,120.81
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,6,123.23,121.62
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,7,123.71,122.22
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,8,124.29,122.9
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,9,124.49,123.39
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,10,124.8,123.8
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,11,124.71,124.04
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,12,125.11,124.84
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,1,124.88,125.23
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,2,126,125.96
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,3,126.78,126.41
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,4,128.32,127.45
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,5,128.99,127.65
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,6,129.52,127.83
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,7,130.12,128.5
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,8,129.86,128.39
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,9,130.1,128.92
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,10,129.92,128.86
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,11,130.72,130.07
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,12,130.55,130.32
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,1,129.96,130.37
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,2,130.66,130.62
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,3,131.84,131.41
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,4,132.21,131.35
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,5,133.6,132.15
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,6,134.05,132.32
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,7,134.38,132.64
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,8,134.62,133.08
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,9,134.54,133.3
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,10,134.87,133.78
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,11,134.8,134.17
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,12,134.66,134.48
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,1,134.63,135.06
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,2,135.77,135.74
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,3,136.61,136.12
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,4,137.36,136.5
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,5,138.44,136.89
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,6,139.38,137.6
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,7,139.76,137.9
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,8,140.1,138.47
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,9,140.61,139.27
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,10,141.16,140.03
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,11,141.49,140.88
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,12,141.38,141.27
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,1,141.4,141.82
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,2,142.56,142.55
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,3,143.53,142.99
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,4,144.34,143.46
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,5,146.09,144.43
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,6,146.74,144.84
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,7,147.56,145.55
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,8,148.25,146.49
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,9,148.22,146.77
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,10,148.64,147.44
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,11,148.38,147.74
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,12,148.6,148.56
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,1,149.78,150.21
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,2,149.3,149.33
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,3,151.32,150.76
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,4,152.38,151.46
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,5,153.58,151.84
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,6,154.93,152.89
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,7,155.74,153.59
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,8,155.87,153.97
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,9,156.02,154.44
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,10,156.15,154.86
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,11,156.01,155.37
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,12,156.37,156.38
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,1,156.48,156.95
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,2,157.54,157.65
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,3,158.69,158.16
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,4,159.88,158.91
