,date,hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
0,1991-01-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,1,100.0,100.0
1,1991-02-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,2,100.92,100.98
2,1991-03-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,3,101.3,100.91
3,1991-04-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,4,101.7,100.99
4,1991-05-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,5,102.31,101.35
5,1991-06-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,6,102.77,101.49
6,1991-07-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,7,102.97,101.85
7,1991-08-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,8,103.13,102.03
8,1991-09-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,9,102.82,101.99
9,1991-10-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,10,103.06,102.31
10,1991-11-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,11,103.95,103.31
11,1991-12-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,12,103.74,103.42
12,1992-01-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,1,103.84,103.86
13,1992-02-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,2,104.34,104.38
14,1992-03-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,3,105.52,105.13
15,1992-04-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,4,105.9,105.16
16,1992-05-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,5,106.56,105.56
17,1992-06-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,6,106.91,105.56
18,1992-07-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,7,107.14,105.97
19,1992-08-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,8,107.59,106.43
20,1992-09-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,9,107.58,106.71
21,1992-10-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,10,108.17,107.35
22,1992-11-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,11,108.42,107.76
23,1992-12-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,12,108.73,108.4
24,1993-01-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,1,108.46,108.54
25,1993-02-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,2,108.3,108.33
26,1993-03-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,3,109.27,108.91
27,1993-04-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,4,110.24,109.46
28,1993-05-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,5,110.85,109.8
29,1993-06-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,6,111.95,110.51
30,1993-07-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,7,112.18,110.93
31,1993-08-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,8,112.62,111.39
32,1993-09-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,9,113.11,112.17
33,1993-10-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,10,113.22,112.34
34,1993-11-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,11,113.54,112.88
35,1993-12-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,12,113.78,113.45
36,1994-01-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,1,114.03,114.18
37,1994-02-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,2,114.4,114.42
38,1994-03-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,3,115.16,114.81
39,1994-04-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,4,116.35,115.52
40,1994-05-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,5,117.17,116.05
41,1994-06-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,6,117.9,116.36
42,1994-07-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,7,117.9,116.54
43,1994-08-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,8,118.35,117.05
44,1994-09-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,9,118.4,117.38
45,1994-10-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,10,118.99,118.04
46,1994-11-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,11,119.18,118.52
47,1994-12-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,12,118.9,118.59
48,1995-01-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,1,119.12,119.36
49,1995-02-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,2,120.02,120.0
50,1995-03-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,3,120.5,120.16
51,1995-04-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,4,121.71,120.85
52,1995-05-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,5,122.03,120.81
53,1995-06-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,6,123.23,121.62
54,1995-07-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,7,123.71,122.22
55,1995-08-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,8,124.29,122.9
56,1995-09-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,9,124.49,123.39
57,1995-10-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,10,124.8,123.8
58,1995-11-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,11,124.71,124.04
59,1995-12-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,12,125.11,124.84
60,1996-01-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,1,124.88,125.23
61,1996-02-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,2,126.0,125.96
62,1996-03-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,3,126.78,126.41
63,1996-04-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,4,128.32,127.45
64,1996-05-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,5,128.99,127.65
65,1996-06-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,6,129.52,127.83
66,1996-07-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,7,130.12,128.5
67,1996-08-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,8,129.86,128.39
68,1996-09-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,9,130.1,128.92
69,1996-10-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,10,129.92,128.86
70,1996-11-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,11,130.72,130.07
71,1996-12-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,12,130.55,130.32
72,1997-01-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,1,129.96,130.37
73,1997-02-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,2,130.66,130.62
74,1997-03-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,3,131.84,131.41
75,1997-04-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,4,132.21,131.35
76,1997-05-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,5,133.6,132.15
77,1997-06-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,6,134.05,132.32
78,1997-07-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,7,134.38,132.64
79,1997-08-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,8,134.62,133.08
80,1997-09-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,9,134.54,133.3
81,1997-10-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,10,134.87,133.78
82,1997-11-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,11,134.8,134.17
83,1997-12-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,12,134.66,134.48
84,1998-01-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,1,134.63,135.06
85,1998-02-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,2,135.77,135.74
86,1998-03-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,3,136.61,136.12
87,1998-04-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,4,137.36,136.5
88,1998-05-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,5,138.44,136.89
89,1998-06-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,6,139.38,137.6
90,1998-07-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,7,139.76,137.9
91,1998-08-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,8,140.1,138.47
92,1998-09-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,9,140.61,139.27
93,1998-10-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,10,141.16,140.03
94,1998-11-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,11,141.49,140.88
95,1998-12-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,12,141.38,141.27
96,1999-01-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,1,141.4,141.82
97,1999-02-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,2,142.56,142.55
98,1999-03-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,3,143.53,142.99
99,1999-04-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,4,144.34,143.46
100,1999-05-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,5,146.09,144.43
101,1999-06-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,6,146.74,144.84
102,1999-07-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,7,147.56,145.55
103,1999-08-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,8,148.25,146.49
104,1999-09-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,9,148.22,146.77
105,1999-10-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,10,148.64,147.44
106,1999-11-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,11,148.38,147.74
107,1999-12-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,12,148.6,148.56
108,2000-01-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,1,149.78,150.21
109,2000-02-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,2,149.3,149.33
110,2000-03-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,3,151.32,150.76
111,2000-04-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,4,152.38,151.46
112,2000-05-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,5,153.58,151.84
113,2000-06-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,6,154.93,152.89
114,2000-07-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,7,155.74,153.59
115,2000-08-01,traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,8,155.87,153.97
